ticker,nome,tipo_ativo,preco,taxa,porcentagem_desejada,porcentagem_real,qtd_acoes,valor_real,data_fechamento,data_vencimento
ITUB4.SA,ITAUUNIBANCOPN      N1,acao,42.650001525878906,0.0,8.0,7.999988736213684,187573,7999988.736213684,23/03/2026,
BBAS3.SA,BRASIL      ON      NM,acao,23.899999618530273,0.0,4.0,3.999999536155701,167364,3999999.5361557007,23/03/2026,
BPAC11.SA,BTGP BANCO  UNT     N2,acao,54.959999084472656,0.0,8.0,7.99997746673584,145560,7999977.46673584,23/03/2026,
RDOR3.SA,REDE D OR   ON      NM,acao,38.349998474121094,0.0,6.0,5.999972311271668,156453,5999972.3112716675,23/03/2026,
WEGE3.SA,WEG         ON      NM,acao,47.369998931884766,0.0,5.0,4.999998127258301,105552,4999998.127258301,23/03/2026,
ENGI11.SA,ENERGISA    UNT     N2,acao,50.2400016784668,0.0,6.0,5.999962440452576,119426,5999962.440452576,23/03/2026,
PRIO3.SA,PETRORIO    ON      NM,acao,66.61000061035156,0.0,7.0,6.999978354141236,105089,6999978.354141235,23/03/2026,
SUZB3.SA,SUZANO S.A. ON      NM,acao,51.310001373291016,0.0,4.0,3.999973777057648,77957,3999973.7770576477,23/03/2026,
MBRF3.SA,MARFRIG     ON  ATZ NM,acao,18.049999237060547,0.0,9.0,8.999982319587707,498614,8999982.319587708,23/03/2026,
MULT3.SA,MULTIPLAN   ON      N2,acao,31.010000228881836,0.0,7.0,6.999980381666184,225733,6999980.3816661835,23/03/2026,
TEND3.SA,TENDA       ON      NM,acao,31.299999237060547,0.0,4.0,3.9999834025001526,127795,3999983.4025001526,23/03/2026,
RENT3.SA,LOCALIZA    ON      NM,acao,46.58000183105469,0.0,4.0,3.9999644972381594,85873,3999964.497238159,23/03/2026,
CURY3.SA,CURY S/A    ON      NM,acao,34.83000183105469,0.0,3.0,2.9999777177124023,86132,2999977.7177124023,23/03/2026,
RAIL3.SA,RUMO S.A.   ON      NM,acao,16.719999313354492,0.0,5.0,4.999998754663467,299043,4999998.754663467,23/03/2026,
MSFT,Microsoft Corporation,acao,383.9100036621094,0.0,7.0,6.99983109677124,18233,6999831.09677124,23/03/2026,
NVDA,NVIDIA Corporation,acao,175.38499450683594,0.0,7.0,6.999965900756836,39912,6999965.900756836,23/03/2026,
GOOGL,Alphabet Inc.,acao,302.1700134277344,0.0,6.0,5.999887786621094,19856,5999887.786621094,23/03/2026,
